task,subtask,episode,original_start,original_end,cropped_traj_start,cropped_traj_end,path,same_gripper_state,instructions_1,instructions_2,instructions_3
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_36_30,0,97,43,70,banana_from_sink_to_right_stove/others/2025_04_15-01_36_30,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_36_30,0,97,70,78,banana_from_sink_to_right_stove/others/2025_04_15-01_36_30,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_37_06,0,95,0,39,banana_from_sink_to_right_stove/others/2025_04_15-01_37_06,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_37_06,0,95,39,71,banana_from_sink_to_right_stove/others/2025_04_15-01_37_06,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_37_06,0,95,71,81,banana_from_sink_to_right_stove/others/2025_04_15-01_37_06,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_38_09,0,96,0,45,banana_from_sink_to_right_stove/others/2025_04_15-01_38_09,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_38_09,0,96,45,71,banana_from_sink_to_right_stove/others/2025_04_15-01_38_09,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_38_09,0,96,71,85,banana_from_sink_to_right_stove/others/2025_04_15-01_38_09,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_38_47,0,102,0,46,banana_from_sink_to_right_stove/others/2025_04_15-01_38_47,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_38_47,0,102,46,73,banana_from_sink_to_right_stove/others/2025_04_15-01_38_47,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_38_47,0,102,73,85,banana_from_sink_to_right_stove/others/2025_04_15-01_38_47,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_39_24,0,100,0,49,banana_from_sink_to_right_stove/others/2025_04_15-01_39_24,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_39_24,0,100,49,75,banana_from_sink_to_right_stove/others/2025_04_15-01_39_24,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_39_24,0,100,75,85,banana_from_sink_to_right_stove/others/2025_04_15-01_39_24,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_40_05,0,94,0,46,banana_from_sink_to_right_stove/others/2025_04_15-01_40_05,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_40_05,0,94,46,69,banana_from_sink_to_right_stove/others/2025_04_15-01_40_05,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_40_05,0,94,69,80,banana_from_sink_to_right_stove/others/2025_04_15-01_40_05,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_40_43,0,102,0,45,banana_from_sink_to_right_stove/others/2025_04_15-01_40_43,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_40_43,0,102,45,71,banana_from_sink_to_right_stove/others/2025_04_15-01_40_43,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_40_43,0,102,71,83,banana_from_sink_to_right_stove/others/2025_04_15-01_40_43,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_41_19,0,105,0,43,banana_from_sink_to_right_stove/others/2025_04_15-01_41_19,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_41_19,0,105,43,75,banana_from_sink_to_right_stove/others/2025_04_15-01_41_19,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_41_19,0,105,75,86,banana_from_sink_to_right_stove/others/2025_04_15-01_41_19,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_41_55,0,107,0,43,banana_from_sink_to_right_stove/others/2025_04_15-01_41_55,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_41_55,0,107,43,75,banana_from_sink_to_right_stove/others/2025_04_15-01_41_55,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_41_55,0,107,75,87,banana_from_sink_to_right_stove/others/2025_04_15-01_41_55,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_42_32,0,108,0,49,banana_from_sink_to_right_stove/others/2025_04_15-01_42_32,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_42_32,0,108,49,75,banana_from_sink_to_right_stove/others/2025_04_15-01_42_32,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_42_32,0,108,75,90,banana_from_sink_to_right_stove/others/2025_04_15-01_42_32,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_44_06,0,99,0,39,banana_from_sink_to_right_stove/others/2025_04_15-01_44_06,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_44_06,0,99,39,67,banana_from_sink_to_right_stove/others/2025_04_15-01_44_06,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_44_06,0,99,67,79,banana_from_sink_to_right_stove/others/2025_04_15-01_44_06,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_44_41,0,102,0,42,banana_from_sink_to_right_stove/others/2025_04_15-01_44_41,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_44_41,0,102,42,77,banana_from_sink_to_right_stove/others/2025_04_15-01_44_41,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_44_41,0,102,77,87,banana_from_sink_to_right_stove/others/2025_04_15-01_44_41,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_45_17,0,122,0,39,banana_from_sink_to_right_stove/others/2025_04_15-01_45_17,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_45_17,0,122,39,67,banana_from_sink_to_right_stove/others/2025_04_15-01_45_17,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_45_17,0,122,67,78,banana_from_sink_to_right_stove/others/2025_04_15-01_45_17,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_45_59,0,104,0,48,banana_from_sink_to_right_stove/others/2025_04_15-01_45_59,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_45_59,0,104,48,78,banana_from_sink_to_right_stove/others/2025_04_15-01_45_59,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_45_59,0,104,78,89,banana_from_sink_to_right_stove/others/2025_04_15-01_45_59,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_46_37,0,106,0,48,banana_from_sink_to_right_stove/others/2025_04_15-01_46_37,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_46_37,0,106,48,73,banana_from_sink_to_right_stove/others/2025_04_15-01_46_37,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_46_37,0,106,73,85,banana_from_sink_to_right_stove/others/2025_04_15-01_46_37,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_47_56,0,99,0,44,banana_from_sink_to_right_stove/others/2025_04_15-01_47_56,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_47_56,0,99,44,74,banana_from_sink_to_right_stove/others/2025_04_15-01_47_56,False,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_47_56,0,99,74,82,banana_from_sink_to_right_stove/others/2025_04_15-01_47_56,True,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_48_31,0,94,0,42,banana_from_sink_to_right_stove/others/2025_04_15-01_48_31,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_48_31,0,94,42,67,banana_from_sink_to_right_stove/others/2025_04_15-01_48_31,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_48_31,0,94,67,78,banana_from_sink_to_right_stove/others/2025_04_15-01_48_31,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_50_27,0,111,0,46,banana_from_sink_to_right_stove/others/2025_04_15-01_50_27,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_50_27,0,111,46,79,banana_from_sink_to_right_stove/others/2025_04_15-01_50_27,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_50_27,0,111,79,93,banana_from_sink_to_right_stove/others/2025_04_15-01_50_27,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_51_04,0,100,0,44,banana_from_sink_to_right_stove/others/2025_04_15-01_51_04,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_51_04,0,100,44,71,banana_from_sink_to_right_stove/others/2025_04_15-01_51_04,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_51_04,0,100,71,83,banana_from_sink_to_right_stove/others/2025_04_15-01_51_04,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_48_25,0,106,9,90,banana_from_tray_to_right_stove/default_task/2025_04_14-14_48_25,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_49_42,0,96,9,84,banana_from_tray_to_right_stove/default_task/2025_04_14-14_49_42,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_50_20,0,92,10,81,banana_from_tray_to_right_stove/default_task/2025_04_14-14_50_20,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_50_55,0,97,9,83,banana_from_tray_to_right_stove/default_task/2025_04_14-14_50_55,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_51_33,0,94,11,83,banana_from_tray_to_right_stove/default_task/2025_04_14-14_51_33,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_52_10,0,94,12,82,banana_from_tray_to_right_stove/default_task/2025_04_14-14_52_10,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-14_59_11,0,94,10,82,banana_from_tray_to_right_stove/default_task/2025_04_14-14_59_11,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_00_09,0,99,8,84,banana_from_tray_to_right_stove/default_task/2025_04_14-15_00_09,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_00_46,0,86,9,78,banana_from_tray_to_right_stove/default_task/2025_04_14-15_00_46,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_01_21,0,90,9,79,banana_from_tray_to_right_stove/default_task/2025_04_14-15_01_21,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_01_58,0,94,9,82,banana_from_tray_to_right_stove/default_task/2025_04_14-15_01_58,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_02_55,0,84,0,74,banana_from_tray_to_right_stove/default_task/2025_04_14-15_02_55,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_03_29,0,94,7,79,banana_from_tray_to_right_stove/default_task/2025_04_14-15_03_29,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_04_06,0,80,8,68,banana_from_tray_to_right_stove/default_task/2025_04_14-15_04_06,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_04_40,0,89,0,77,banana_from_tray_to_right_stove/default_task/2025_04_14-15_04_40,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_05_24,0,85,0,74,banana_from_tray_to_right_stove/default_task/2025_04_14-15_05_24,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_06_02,0,91,9,80,banana_from_tray_to_right_stove/default_task/2025_04_14-15_06_02,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_06_39,0,81,5,70,banana_from_tray_to_right_stove/default_task/2025_04_14-15_06_39,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_07_11,0,78,0,66,banana_from_tray_to_right_stove/default_task/2025_04_14-15_07_11,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_07_59,0,94,9,83,banana_from_tray_to_right_stove/default_task/2025_04_14-15_07_59,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,default_task,2025_04_14-15_08_28,0,94,8,77,banana_from_tray_to_right_stove/default_task/2025_04_14-15_08_28,False,Move the banana from tray to right stove.,Transfer the banana from tray to the right stove.,Relocate the banana from tray to the right stove.
banana_from_tray_to_right_stove,grasp_banana,2025_04_14-15_19_01,0,99,0,36,banana_from_tray_to_right_stove/others/2025_04_14-15_19_01,False,Grasp the banana from the tray.,Gently grasp the banana from the tray.,Grip the banana on the tray firmly.
banana_from_tray_to_right_stove,grasp_banana,2025_04_14-15_19_29,0,98,9,39,banana_from_tray_to_right_stove/others/2025_04_14-15_19_29,False,Grasp the banana from the tray.,Gently grasp the banana from the tray.,Grip the banana on the tray firmly.
